Applicant_ID,Applicant_Gender,Owned_Car,Owned_Realty,Total_Children,Total_Income,Income_Type,Education_Type,Family_Status,Housing_Type,Owned_Mobile_Phone,Owned_Work_Phone,Owned_Phone,Owned_Email,Job_Title,Total_Family_Members,Applicant_Age,Years_of_Working,Total_Bad_Debt,Total_Good_Debt,Status
5008806,M      ,1,1,0,112500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Security staff                                    ,2,59,4,0,30,1
5008808,F      ,0,1,0,270000,Commercial associate                              ,Secondary / secondary special                     ,Single / not married                              ,House / apartment                                 ,1,0,1,1,Sales staff                                       ,1,53,9,0,5,1
5008809,F      ,0,1,0,270000,Commercial associate                              ,Secondary / secondary special                     ,Single / not married                              ,House / apartment                                 ,1,0,1,1,Sales staff                                       ,1,53,9,0,5,1
5008810,F      ,0,1,0,270000,Commercial associate                              ,Secondary / secondary special                     ,Single / not married                              ,House / apartment                                 ,1,0,1,1,Sales staff                                       ,1,53,9,0,27,1
5008811,F      ,0,1,0,270000,Commercial associate                              ,Secondary / secondary special                     ,Single / not married                              ,House / apartment                                 ,1,0,1,1,Sales staff                                       ,1,53,9,0,39,1
5008815,M      ,1,1,0,270000,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,1,1,1,Accountants                                       ,2,47,3,0,6,1
5008819,M      ,1,1,0,135000,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Laborers                                          ,2,49,4,0,8,1
5008820,M      ,1,1,0,135000,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Laborers                                          ,2,49,4,0,9,1
5008821,M      ,1,1,0,135000,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Laborers                                          ,2,49,4,0,9,1
5008822,M      ,1,1,0,135000,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Laborers                                          ,2,49,4,0,9,1
5008823,M      ,1,1,0,135000,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Laborers                                          ,2,49,4,0,5,1
5008824,M      ,1,1,0,135000,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Laborers                                          ,2,49,4,0,4,1
5008825,F      ,1,0,0,130500,Working                                           ,Incomplete higher                                 ,Married                                           ,House / apartment                                 ,1,0,0,0,Accountants                                       ,2,30,4,1,25,1
5008826,F      ,1,0,0,130500,Working                                           ,Incomplete higher                                 ,Married                                           ,House / apartment                                 ,1,0,0,0,Accountants                                       ,2,30,4,7,23,1
5008830,F      ,0,1,0,157500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,1,0,Laborers                                          ,2,28,5,2,30,1
5008831,F      ,0,1,0,157500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,1,0,Laborers                                          ,2,28,5,2,18,1
5008832,F      ,0,1,0,157500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,1,0,Laborers                                          ,2,28,5,2,33,1
5008836,M      ,1,1,3,270000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Laborers                                          ,5,35,4,0,17,1
5008837,M      ,1,1,3,270000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Laborers                                          ,5,35,4,0,17,1
5008838,M      ,0,1,1,405000,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,3,33,6,0,31,1
5008839,M      ,0,1,1,405000,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,3,33,6,0,14,1
5008840,M      ,0,1,1,405000,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,3,33,6,0,56,1
5008841,M      ,0,1,1,405000,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,3,33,6,0,5,1
5008842,M      ,0,1,1,405000,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,3,33,6,0,9,1
5008843,M      ,0,1,1,405000,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,3,33,6,0,30,1
5008844,M      ,1,1,0,112500,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,1,0,Drivers                                           ,2,57,13,0,33,1
5008846,M      ,1,1,0,112500,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,1,0,Drivers                                           ,2,57,13,0,12,1
5008847,M      ,1,1,0,112500,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,1,0,Drivers                                           ,2,57,13,0,33,1
5008849,M      ,1,1,0,112500,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,1,0,Drivers                                           ,2,57,13,0,12,1
5008850,M      ,1,1,0,112500,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,1,0,Drivers                                           ,2,57,13,0,26,1
5008851,M      ,1,1,0,112500,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,1,0,Drivers                                           ,2,57,13,0,12,1
